season,utcDate,matchday,homeTeam,awayTeam,homeScore,awayScore,winner
2023,2024-01-20T14:30:00Z,18,1. FC Heidenheim 1846,VfL Wolfsburg,1,1,DRAW
2023,2024-01-20T14:30:00Z,18,SC Freiburg,TSG 1899 Hoffenheim,3,2,HOME_TEAM
2023,2024-01-20T14:30:00Z,18,VfL Bochum 1848,VfB Stuttgart,1,0,HOME_TEAM
2023,2024-01-20T17:30:00Z,18,RB Leipzig,Bayer 04 Leverkusen,2,3,AWAY_TEAM
2023,2024-01-21T14:30:00Z,18,FC Bayern München,SV Werder Bremen,0,1,AWAY_TEAM
2023,2024-01-21T16:30:00Z,18,Borussia Mönchengladbach,FC Augsburg,1,2,AWAY_TEAM
2023,2024-01-24T19:30:00Z,13,FC Bayern München,1. FC Union Berlin,1,0,HOME_TEAM
2023,2024-01-26T19:30:00Z,19,Eintracht Frankfurt,1. FSV Mainz 05,1,0,HOME_TEAM
2023,2024-01-27T14:30:00Z,19,FC Augsburg,FC Bayern München,2,3,AWAY_TEAM
2023,2024-01-27T14:30:00Z,19,VfB Stuttgart,RB Leipzig,5,2,HOME_TEAM
2023,2024-01-27T14:30:00Z,19,SV Werder Bremen,SC Freiburg,3,1,HOME_TEAM
2023,2024-01-27T14:30:00Z,19,VfL Wolfsburg,1. FC Köln,1,1,DRAW
2023,2024-01-27T14:30:00Z,19,TSG 1899 Hoffenheim,1. FC Heidenheim 1846,1,1,DRAW
2023,2024-01-27T17:30:00Z,19,Bayer 04 Leverkusen,Borussia Mönchengladbach,0,0,DRAW
2023,2024-01-28T14:30:00Z,19,1. FC Union Berlin,SV Darmstadt 98,1,0,HOME_TEAM
2023,2024-01-28T16:30:00Z,19,Borussia Dortmund,VfL Bochum 1848,3,1,HOME_TEAM
2023,2024-02-02T19:30:00Z,20,1. FC Heidenheim 1846,Borussia Dortmund,0,0,DRAW
2023,2024-02-03T14:30:00Z,20,SV Darmstadt 98,Bayer 04 Leverkusen,0,2,AWAY_TEAM
2023,2024-02-03T14:30:00Z,20,FC Bayern München,Borussia Mönchengladbach,3,1,HOME_TEAM
2023,2024-02-03T14:30:00Z,20,1. FSV Mainz 05,SV Werder Bremen,0,1,AWAY_TEAM
2023,2024-02-03T14:30:00Z,20,VfL Bochum 1848,FC Augsburg,1,1,DRAW
2023,2024-02-03T14:30:00Z,20,SC Freiburg,VfB Stuttgart,1,3,AWAY_TEAM
2023,2024-02-03T17:30:00Z,20,1. FC Köln,Eintracht Frankfurt,2,0,HOME_TEAM
2023,2024-02-04T14:30:00Z,20,VfL Wolfsburg,TSG 1899 Hoffenheim,2,2,DRAW
2023,2024-02-04T16:30:00Z,20,RB Leipzig,1. FC Union Berlin,2,0,HOME_TEAM
2023,2024-02-07T17:30:00Z,18,1. FSV Mainz 05,1. FC Union Berlin,1,1,DRAW
2023,2024-02-09T19:30:00Z,21,Borussia Dortmund,SC Freiburg,3,0,HOME_TEAM
2023,2024-02-10T14:30:00Z,21,FC Augsburg,RB Leipzig,2,2,DRAW
2023,2024-02-10T14:30:00Z,21,1. FC Union Berlin,VfL Wolfsburg,1,0,HOME_TEAM
2023,2024-02-10T14:30:00Z,21,Eintracht Frankfurt,VfL Bochum 1848,1,1,DRAW
2023,2024-02-10T14:30:00Z,21,SV Werder Bremen,1. FC Heidenheim 1846,1,2,AWAY_TEAM
2023,2024-02-10T14:30:00Z,21,Borussia Mönchengladbach,SV Darmstadt 98,0,0,DRAW
2023,2024-02-10T17:30:00Z,21,Bayer 04 Leverkusen,FC Bayern München,3,0,HOME_TEAM
